Table with row headers in column A and column headers in rows 5 through 7.,,,,,,,,,,,,
"Table A-1. Annual Geographical Mobility Rates, By Type of Movement:  1948-2018",,,,,,,,,,,,
(Numbers in thousands.),,,,,,,,,,,,
,,,,,,,,,,,,
Mobility period,"Total, 1 year old and over",Same residence (non-movers),Total movers,Different residence in the United States,,,,,Movers from abroad,,,
,,,,Total,Same county,Different county,,,,,,
,,,,,,Total,Same state,Different state,,,,
NUMBER,,,,,,,,,,,,
,,,,,,,,,,,,
2017-2018,"319,319","286,967","32,352","31,186","19,852","11,334","6,496","4,838","1,165",,,
2016-2017,"316,550","281,647","34,902","33,647","21,614","12,033","6,668","5,366","1,255",,,
2015-2016,"314,992","279,854","35,138","33,857","21,588","12,269","7,501","4,768","1,281",,,
,,,,,,,,,,,,
2014-2015,"312,295","275,971","36,324","34,651","22,905","11,746","6,653","5,093","1,673",,,
"2013-2014 (98,000 address file)/1","309,601","273,920","35,681","34,548","23,436","11,112","6,446","4,666","1,133",,,
2012-2013,"307,243","271,325","35,918","34,882","23,150","11,731","6,961","4,770","1,036",,,
2011-2012,"304,924","268,436","36,488","35,334","23,493","11,842","6,782","5,059","1,154",,,
2010-2011 (2010 controls)/2,"302,640","267,602","35,038","33,953","23,330","10,623","5,868","4,756","1,084",,,
2010-2011 (2000 controls)/3,"302,005","266,930","35,075","34,016","23,325","10,691","5,912","4,779","1,058",,,
,,,,,,,,,,,,
2009-2010 (2010 controls)/2,"300,419","262,975","37,445","36,459","25,910","10,549","6,227","4,323",985,,,
2009-2010 (2000 controls)/3,"300,074","262,534","37,540","36,594","26,017","10,577","6,252","4,326",946,,,
2008-2009,"297,182","260,077","37,105","36,017","24,984","11,034","6,374","4,660","1,087",,,
2007-2008,"294,851","259,685","35,167","34,022","23,013","11,009","6,282","4,728","1,145",,,
2006-2007,"292,749","254,068","38,681","37,490","25,192","12,298","7,436","4,862","1,191",,,
2005-2006,"289,781","249,945","39,837","38,541","24,851","13,690","8,010","5,679","1,296",,,
,,,,,,,,,,,,
2004-2005/4,"287,148","247,261","39,888","38,023","22,736","15,287","7,847","7,441","1,865",,,
2003-2004,"284,367","245,372","38,995","37,723","22,551","15,172","7,842","7,330","1,272",,,
2002-2003,"282,556","242,463","40,093","38,824","23,468","15,356","7,728","7,628","1,269",,,
2001-2002,"278,160","237,049","41,111","39,548","23,712","15,836","8,066","7,770","1,563",,,
2000-2001 (2000 controls)/3,"275,611","236,605","39,007","37,251","21,918","15,333","7,550","7,783","1,756",,,
"2000-2001 (SCHIP, 2000 controls)/5","275,611","235,726","39,885","38,133","22,774","15,360","7,778","7,582","1,752",,,
2000-2001 (1990 controls)/6,"272,671","234,029","38,641","36,993","21,783","15,210","7,531","7,679","1,648",,,
,,,,,,,,,,,,
1999-2000,"270,219","226,831","43,388","41,642","24,399","17,242","8,814","8,428","1,746",,,
1998-1999,"267,933","225,297","42,636","41,207","25,268","15,939","8,423","7,516","1,429",,,
1997-1998,"265,209","222,702","42,507","41,304","27,082","14,222","7,867","6,355","1,203",,,
1996-1997,"262,976","219,585","43,391","42,088","27,740","14,348","7,960","6,389","1,303",,,
1995-1996,"260,406","217,868","42,537","41,176","26,696","14,480","8,009","6,471","1,361",,,
,,,,,,,,,,,,
1994-1995,"258,248","215,931","42,317","41,539","27,908","13,631","7,888","5,743",778,,,
1993-1994,"255,774","212,939","42,835","41,590","26,638","14,952","8,226","6,726","1,245",,,
1992-1993 (1990 controls)/6,"252,799","209,700","43,099","41,704","26,932","14,772","7,855","6,916","1,395",,,
1992-1993 (1980 controls)/7,"250,210","208,162","42,048","40,743","26,212","14,532","7,735","6,797","1,305",,,
1991-1992,"247,380","204,580","42,800","41,545","26,587","14,957","7,853","7,105","1,255",,,
1990-1991,"244,884","203,345","41,539","40,154","25,151","15,003","7,881","7,122","1,385",,,
,,,,,,,,,,,,
1989-1990,"242,208","198,827","43,381","41,821","25,726","16,094","8,061","8,033","1,560",,,
1988-1989,"239,793","197,173","42,620","41,153","26,123","15,030","7,949","7,081","1,467",,,
1987-1988,"237,431","195,258","42,174","40,974","26,201","14,772","7,727","7,046","1,200",,,
1986-1987,"235,089","191,396","43,693","42,551","27,196","15,355","8,762","6,593","1,142",,,
1985-1986,"232,998","189,760","43,237","42,037","26,401","15,636","8,665","6,971","1,200",,,
,,,,,,,,,,,,
1984-1985,"230,333","183,863","46,470","45,043","30,126","14,917","7,995","6,921","1,427",,,
1983-1984,"228,232","188,853","39,379","38,300","23,659","14,641","8,198","6,444","1,079",,,
1982-1983,"225,874","188,465","37,408","36,430","22,858","13,572","7,403","6,169",978,,,
1981-1982,"223,719","185,592","38,127","37,039","23,081","13,959","7,330","6,628","1,088",,,
1980-1981,"221,641","183,442","38,200","36,887","23,097","13,789","7,614","6,175","1,313",,,
,,,,,,,,,,,,
1975-1976/8,"208,069","171,276","36,793","35,645","22,399","13,246","7,106","6,140","1,148",,,
1970-1971/8,"201,506","163,800","37,705","36,161","23,018","13,143","6,197","6,946","1,544",,,
,,,,,,,,,,,,
1969-1970,"198,955","160,860","38,095","36,541","23,225","13,316","6,250","7,066","1,554",,,
1968-1969,"196,642","159,310","37,332","35,933","22,993","12,940","6,316","6,625","1,399",,,
1967-1968,"194,621","156,735","37,886","36,603","22,960","13,643","6,607","7,035","1,283",,,
1966-1967,"192,233","155,710","36,523","35,200","22,339","12,861","6,308","6,553","1,323",,,
1965-1966,"190,242","152,656","37,586","36,703","24,165","12,538","6,275","6,263",883,,,
,,,,,,,,,,,,
1964-1965,"187,974","149,128","38,846","37,866","25,122","12,744","6,597","6,147",978,,,
1963-1964,"185,312","148,125","37,187","36,327","24,089","12,238","6,191","6,047",859,,,
1962-1963,"182,541","146,109","36,432","35,411","23,059","12,352","5,712","6,640","1,021",,,
1961-1962,"179,663","144,445","35,218","34,364","23,341","11,023","5,461","5,562",854,,,
1960-1961,"177,354","140,821","36,533","35,535","24,289","11,246","5,493","5,753",998,,,
,,,,,,,,,,,,
1959-1960,"174,451","139,766","34,685","33,811","22,564","11,247","5,724","5,523",874,,,
1958-1959,"170,658","137,018","33,640","32,804","22,315","10,489","5,419","5,070",836,,,
1957-1958,"167,604","133,501","34,103","33,263","22,023","11,240","5,656","5,584",840,,,
1956-1957,"164,371","131,648","32,723","31,834","21,566","10,268","5,192","5,076",889,,,
1955-1956,"161,497","127,457","34,040","33,098","22,186","10,912","5,859","5,053",942,,,
,,,,,,,,,,,,
1954-1955,"158,609","126,190","32,419","31,492","21,086","10,406","5,511","4,895",927,,,
1953-1954,"155,679","125,654","30,025","29,027","19,046","9,981","4,947","5,034",998,,,
1952-1953,"153,038","121,512","31,526","30,786","20,638","10,148","4,626","5,522",740,,,
1951-1952,"150,494","120,016","30,478","29,840","19,874","9,966","4,854","5,112",638,,,
1950-1951,"148,400","116,936","31,464","31,158","20,694","10,464","5,276","5,188",306,,,
,,,,,,,,,,,,
1949-1950,"146,864","118,849","28,015","27,526","19,276","8,250","4,360","3,889",491,,,
1948-1949,"144,101","116,498","27,603","27,127","18,792","8,335","3,992","4,344",476,,,
1947-1948,"141,698","113,026","28,672","28,210","19,202","9,008","4,638","4,370",462,,,
,,,,,,,,,,,,
PERCENT,,,,,,,,,,,,
,,,,,,,,,,,,
2017-2018, 100.0 , 89.9 , 10.1 , 9.8 , 6.2 , 3.6 , 2.0 , 1.5 , 0.4 ,,,
2016-2017, 100.0 , 89.0 , 11.0 , 10.6 , 6.8 , 3.8 , 2.1 , 1.7 , 0.4 ,,,
2015-2016, 100.0 , 88.8 , 11.2 , 10.7 , 6.9 , 3.9 , 2.4 , 1.5 , 0.4 ,,,
,,,,,,,,,,,,
2014-2015, 100.0 , 88.4 , 11.6 , 11.1 , 7.3 , 3.8 , 2.1 , 1.6 , 0.5 ,,,
"2013-2014 (98,000 address file)/1", 100.0 , 88.5 , 11.5 , 11.2 , 7.6 , 3.6 , 2.1 , 1.5 , 0.4 ,,,
2012-2013, 100.0 , 88.3 , 11.7 , 11.4 , 7.5 , 3.8 , 2.3 , 1.6 , 0.3 ,,,
2011-2012, 100.0 , 88.0 , 12.0 , 11.6 , 7.7 , 3.9 , 2.2 , 1.7 , 0.4 ,,,
2010-2011 (2010 controls)/2, 100.0 , 88.4 , 11.6 , 11.2 , 7.7 , 3.5 , 1.9 , 1.6 , 0.4 ,,,
2010-2011 (2000 controls)/3, 100.0 , 88.4 , 11.6 , 11.3 , 7.7 , 3.5 , 2.0 , 1.6 , 0.4 ,,,
,,,,,,,,,,,,
